#   ID    NGCname   IAUname         WideImageURL    ZoomedImageURL    SDSSExploreURL   NSAURL
SAGA001   NGC2967   SDSSJ0031+002   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=9.70091&dec=0.336452&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=9.70091&dec=0.336452&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=9.70091&dec=0.336452&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=32&submit_form=Submit
SAGA002   NGC4045   SDSSJ0042+015   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.0451&dec=1.9768&scale=14.0625000&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.0451&dec=1.9768&scale=0.703125000&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.0451&dec=1.9768&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=13927&submit_form=Submit
SAGA003   NGC3182   SDSSJ0049+581   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.3258&dec=58.2058&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.3258&dec=58.2058&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=10.3258&dec=58.2058&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=16559&submit_form=Submit
SAGA004   NGC2543   SDSSJ0036+361   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=8.21609&dec=36.2546&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=8.21609&dec=36.2546&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=8.21609&dec=36.2546&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=33446&submit_form=Submit
SAGA005   NGC3549   SDSSJ0040+532   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.1825&dec=53.3878&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.1825&dec=53.3878&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.1825&dec=53.3878&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=41075&submit_form=Submit
SAGA006   NGC4814   SDSSJ0057+582   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.9228&dec=58.3442&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.9228&dec=58.3442&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.9228&dec=58.3442&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=52773&submit_form=Submit
SAGA007   NGC5485   SDSSJ0055+550   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=14.1198&dec=55.0017&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=14.1198&dec=55.0017&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=14.1198&dec=55.0017&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=53145&submit_form=Submit
SAGA008   NGC7716   SDSSJ0138+001   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=23.6087&dec=0.297265&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=23.6087&dec=0.297265&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=23.6087&dec=0.297265&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=61945&submit_form=Submit
SAGA009   None      SDSSJ0108+213   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=16.5737&dec=21.5409&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=16.5737&dec=21.5409&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=16.5737&dec=21.5409&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=63326&submit_form=Submit
SAGA010   None      SDSSJ0052+491   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=14.0472&dec=49.1726&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=14.0472&dec=49.1726&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=14.0472&dec=49.1726&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=69028&submit_form=Submit
