RA,Dec,PGC#,NSAID,othername,vhelio,vhelio_err,distance,i,z,I,K
155.411800699,0.900255164384,,464,,897.302368164,190.000305176,12.9778122978,17.8648594095,17.9443786814,,
175.827885017,0.212515965092,,1212,,149.585525513,95.0001525879,2.16116345011,13.1388387662,12.8246870023,,
185.86139022,-0.411951305215,,1398,,108.256233215,70.0001144409,1.56371211242,16.6973388716,16.7491024061,,
170.835578635,-3.13086875479,,2996,,2707.15625,160.000244141,39.3325045658,17.3694737222,17.1953413751,,
179.301669033,-2.68650062571,,3272,,1536.73803711,142.500213623,22.2595972489,17.5221982131,17.5233359465,,
178.369363427,-3.22968533309,,3276,,1586.27331543,142.500213623,22.9809618134,16.9707919256,16.9346038,,
190.414321924,-1.44519645427,,3526,,146.170669556,87.5001296997,2.11179869823,6.79136294621,7.93538874883,,
191.530258224,-3.26911585606,,3537,,1156.52880859,172.500274658,16.7390133251,17.1693904711,17.0419090105,,13.254
190.497254971,-3.66736412411,,3549,,2826.93212891,147.500244141,41.0831285087,19.398808606,19.3847695664,,
236.309975571,0.772172002704,,3818,,3652.25463867,190.000305176,53.1902078059,14.5454010347,14.4503769258,,13.746
252.068459415,64.2233541792,,4121,,361.508728027,135.000213623,5.22470007971,13.5023513508,14.3502431583,,
251.647632034,64.0753946959,,4123,,447.473052979,140.000228882,6.4673901448,13.885812928,14.0322372215,,
256.566020822,60.7052351916,,4180,,3519.86547852,167.500259399,51.244872235,15.3072452222,15.1149863873,,12.404
255.866690482,61.1089327558,,4193,,3241.33618164,132.500213623,47.1591567746,16.4876135571,16.5043352826,,
258.045570376,61.9149799912,,4216,,3896.11572266,192.500305176,56.7802867079,16.0979665891,15.9662222044,,14.286
257.912493216,60.7283474202,,4295,,3882.18041992,190.000305176,56.575133694,17.9708382107,17.8169628598,,13.823
257.91813505,60.6877256927,,4297,,3306.33203125,137.500213623,48.1125737063,18.1932038434,18.1090001233,,
260.406855867,60.4136580287,,4353,,3549.71655273,170.000274658,51.6827543422,17.8931423611,17.8739420361,,
260.123726154,60.745945103,,4354,,3549.95849609,175.000259399,51.6863033826,17.85417175,17.816775319,,
259.578954217,60.9602642016,,4371,,3306.42626953,140.000228882,48.1139560772,15.9577458704,15.9151719416,,
259.708728459,56.4913811855,,4405,,3306.3828125,130.000198364,48.1133186108,17.0292789135,16.9151965771,,14.288
259.022981135,56.0908117669,,4422,,440.075836182,140.000228882,6.36045685791,14.3311689349,14.2312276812,,
261.549441028,57.169481087,,4576,,3323.87597656,135.000213623,48.3699239003,18.179206557,18.0926072071,,
261.790202539,60.0283457486,,4869,,3309.90820312,137.500213623,48.1650321761,15.4864627711,15.3842517725,,13.026
261.386567604,55.6565322625,,4935,,3246.5703125,127.500205994,47.2359356615,18.0891684744,18.0995043966,,13.681
331.549020913,1.05196198859,,5052,,2774.81640625,117.500183105,40.3214139405,15.78104905,15.7613022696,,13.129
343.503113087,-1.27202637035,,5243,,3555.61108398,167.500259399,51.7692205694,17.6662577137,17.639293526,,
343.80282044,-0.350539733472,,5245,,272.681610107,97.5001525879,3.94062581969,16.4955824551,16.3778351482,,
345.665109741,-1.23069752505,,5291,,3657.06933594,155.000244141,53.2610889108,17.466377904,17.3538290759,,
344.211754555,-0.842589934394,,5310,,2990.55981445,155.000244141,43.4805459714,18.0408335024,18.0674391085,,
345.360148198,0.865207674674,,5319,,2910.83886719,150.000228882,42.3111282103,16.376884769,16.3333342777,,
347.674966386,-1.16354447281,,5342,,3676.82543945,150.000228882,53.5519347041,18.3091380497,18.1991507908,,
347.325257683,-0.929019377808,,5347,,3662.46533203,152.500228882,53.3405277922,17.6376745436,17.5877210829,,14.065
349.991664814,-0.985549958884,,5395,,3621.05175781,155.000244141,52.7308446208,16.9265391538,16.8655154417,,14.235
2.46017967628,-0.917767429553,,5652,,3971.19482422,127.500205994,57.8855877018,18.1286929559,18.1038182687,,14.631
