RA,Dec,PGC#,NSAID,othername,vhelio,distance,r,i,z,I,K,K_err
148.335342599,0.62856766514,,112,,3934.57617188,61.5896568298,17.6233010978,17.3994298667,17.3146577568,,13.702,0.213
155.411800699,0.900255164384,,464,,700.781494141,12.9443502426,17.840913133,17.8592532438,17.9387725156,,,
168.044331058,-0.979240347779,,858,,3976.91381836,62.2746047974,16.1102515712,16.0128928676,15.9054061427,,13.32,0.184
167.573676285,-0.263963231217,,878,,3859.34301758,59.6892051697,18.3784213542,18.2978530406,18.1733050822,,13.476,0.21
176.53220815,-0.457941560233,,1189,,3915.22314453,61.1299934387,17.6042816183,17.49819298,17.3905078909,,13.562,0.198
175.827885017,0.212515965092,,1212,,63.835975647,2.15789842606,13.2552742387,13.1355556871,12.8214039231,,,
185.86139022,-0.411951305215,,1398,,-35.2995071411,1.56168830395,16.7008180487,16.6945266592,16.7462901938,,,
188.117462781,0.388846619893,,1498,,1514.17663574,23.8685760498,13.1889792025,12.9452524721,12.936596924,,,
189.18629219,0.563405647876,,1539,,3739.31225586,60.0032844543,18.3082506816,18.2208168666,18.1446879069,,,
189.127827282,0.22202937172,,1540,,3724.88232422,59.7492828369,16.2397681902,16.1614391039,16.0785190294,,,
190.075717097,-0.185083479287,,1600,,3765.33496094,60.4955482483,16.7511883432,16.5427513772,16.5639687234,,13.735,0.23
204.689115468,-0.417195179473,,1878,,3799.61816406,59.80651474,15.7471209967,15.5716945135,15.4541999304,,13.033,0.222
204.088635945,-0.460524786814,,1883,,3765.8125,59.3541145325,16.2591494462,16.1105383775,15.9449385545,,13.365,0.195
219.958157506,-0.712856033539,,2494,,1793.40588379,27.0029125214,14.3241291583,14.073804909,13.957153374,,11.312,0.096
170.835578635,-3.13086875479,,2996,,2698.32885742,39.0530319214,17.4831560986,17.3539894956,17.1798571484,,,
177.075804269,-1.63991180706,,3261,,3907.40966797,61.0177154541,16.5375092088,16.561101204,16.4605877458,,13.645,0.207
179.301669033,-2.68650062571,,3272,,1394.02050781,22.1687545776,17.452757953,17.5133181794,17.5144559129,,,
178.369363427,-3.22968533309,,3276,,1448.28259277,22.8833427429,17.0410694265,16.9615482473,16.9253601217,,,
180.962863341,-3.70959868354,,3315,,3912.72265625,61.4449119568,16.3127852374,16.3349867755,16.1908408099,,13.496,0.187
190.414321924,-1.44519645427,,3526,,79.5409164429,2.10863637924,7.7341308653,6.78810883161,7.93213463422,,,
191.530258224,-3.26911585606,,3537,,1051.51220703,16.6839122772,17.389774515,17.1622306841,17.0347492236,,13.254,0.141
190.497254971,-3.66736412411,,3549,,2769.94042969,40.7809028625,18.7933282272,19.3827752487,19.3687362091,,,
190.801726385,-2.00324671139,,3559,,3698.97192383,59.3942718506,16.2180041232,15.8368300357,15.6146887698,,12.767,0.14
195.842448163,-2.98970169962,,3695,,3726.21606445,59.5792655945,17.8962419861,17.8694294327,17.9031923645,,13.391,0.197
